times,latitude,longitude,speed,course,sat_num,hdop,enu_x,enu_y
25689500,36.012985,129.3188008333333,0.30000000000000004,-1,-1,-1,18.10490500806347,64.91117170368055
25689510,36.012985,129.31880066666665,0.0,-1,-1,-1,18.08988018878484,64.91117167289394
25689520,36.012985,129.3188008333333,0.0,-1,-1,-1,18.10490500806347,64.91117170368055
25689530,36.012985,129.3188008333333,0.0,-1,-1,-1,18.10490500806347,64.91117170368055
25689540,36.012985,129.3188008333333,0.0,-1,-1,-1,18.10490500806347,64.91117170368055
25689550,36.012985,129.3188008333333,0.0,-1,-1,-1,18.10490500806347,64.91117170368055
25689560,36.012985,129.3188008333333,0.0,-1,-1,-1,18.10490500806347,64.91117170368055
25689570,36.012985,129.31880066666665,0.0,-1,-1,-1,18.08988018878484,64.91117167289394
25689580,36.012985,129.31880066666665,0.0,-1,-1,-1,18.08988018878484,64.91117167289394
25689590,36.012985,129.31880066666665,0.0,-1,-1,-1,18.08988018878484,64.91117167289394
25689600,36.012985,129.31880066666665,0.0,-1,-1,-1,18.08988018878484,64.91117167289394
25689610,36.012985,129.3188008333333,0.0,-1,-1,-1,18.10490500806347,64.91117170368055
25689620,36.012985,129.3188008333333,0.0,-1,-1,-1,18.10490500806347,64.91117170368055
25689630,36.012985,129.3188008333333,0.0,-1,-1,-1,18.10490500806347,64.91117170368055
25689640,36.012985,129.31880099999998,0.0,-1,-1,-1,18.119929825015916,64.91117173452565
25689650,36.012985,129.31880099999998,0.0,-1,-1,-1,18.119929825015916,64.91117173452565
25689660,36.012985,129.31880099999998,0.0,-1,-1,-1,18.119929825015916,64.91117173452565
25689670,36.012985,129.31880116666667,0.0,-1,-1,-1,18.134954644884658,64.9111717657359
25689680,36.012984833333334,129.31880116666667,0.1,-1,-1,-1,18.134954683031864,64.8926785588454
25689690,36.012984833333334,129.31880116666667,0.0,-1,-1,-1,18.134954683031864,64.8926785588454
25689700,36.01298466666666,129.31880133333334,0.0,-1,-1,-1,18.149979538261896,64.87418538278276
25689710,36.01298466666666,129.31880116666667,0.0,-1,-1,-1,18.134954721014395,64.87418535172584
25689720,36.01298466666666,129.31880133333334,0.0,-1,-1,-1,18.149979538261896,64.87418538278276
25689730,36.01298466666666,129.31880133333334,0.0,-1,-1,-1,18.149979538261896,64.87418538278276
25689740,36.01298466666666,129.31880133333334,0.0,-1,-1,-1,18.149979538261896,64.87418538278276
25689750,36.01298466666666,129.31880116666667,0.1,-1,-1,-1,18.134954721014395,64.87418535172584
25689760,36.0129845,129.31880133333334,0.1,-1,-1,-1,18.14997957666987,64.85569217585774
25689770,36.0129845,129.31880133333334,0.1,-1,-1,-1,18.14997957666987,64.85569217585774
25689780,36.0129845,129.3188008333333,0.30000000000000004,-1,-1,-1,18.10490512224093,64.85569208291898
25689790,36.01298433333333,129.31880016666668,0.5,-1,-1,-1,18.044805891332913,64.83719875256278
25689800,36.01298383333334,129.31879983333334,0.4,-1,-1,-1,18.014756370754583,64.7817190704752
25689810,36.012983,129.31879966666665,0.4,-1,-1,-1,17.99973174047252,64.68925300484028
25689820,36.012981833333335,129.3188,0.6000000000000001,-1,-1,-1,18.029781643830106,64.55980061835162
25689830,36.01298116666667,129.31880016666668,0.6000000000000001,-1,-1,-1,18.04480661343655,64.48582782200278
25689840,36.012980666666664,129.31880033333334,0.6000000000000001,-1,-1,-1,18.0598315448958,64.43034823216776
25689850,36.01298033333333,129.3188005,0.4,-1,-1,-1,18.074856439158204,64.39336184872006
25689860,36.012980166666665,129.3188005,0.2,-1,-1,-1,18.07485647730541,64.37486864182956
25689870,36.01298,129.3188005,0.1,-1,-1,-1,18.07485651515755,64.35637543510393
25689880,36.01297983333333,129.3188005,0.1,-1,-1,-1,18.074856553174364,64.33788222860736
25689890,36.012979666666666,129.3188005,0.1,-1,-1,-1,18.074856591386755,64.31938902170822
25689900,36.0129795,129.31880066666665,0.1,-1,-1,-1,18.08988144517579,64.30089584520951
25689910,36.012979666666666,129.31880066666665,0.1,-1,-1,-1,18.089881407323645,64.31938905268848
25689920,36.012979666666666,129.31880066666665,0.1,-1,-1,-1,18.089881407323645,64.31938905268848
25689930,36.01298,129.31880033333334,0.2,-1,-1,-1,18.05983169725473,64.35637540400867
25689940,36.012980500000005,129.31880016666668,0.2,-1,-1,-1,18.04480676537004,64.41185499440246
25689950,36.01298083333334,129.31880016666668,0.2,-1,-1,-1,18.044806689435894,64.44884140800997
25689960,36.01298083333334,129.31879983333334,0.2,-1,-1,-1,18.01475705349987,64.44884134659007
25689970,36.01298116666667,129.31879966666665,0.30000000000000004,-1,-1,-1,17.999732157271538,64.48582772954613
25689980,36.0129815,129.31879983333334,0.2,-1,-1,-1,18.014756901796247,64.52281417403417
25689990,36.01298166666666,129.3188,0.2,-1,-1,-1,18.029781681912112,64.54130741146976
25690000,36.012981833333335,129.3188005,0.2,-1,-1,-1,18.074856096653377,64.55980071100191
25690010,36.012982,129.31880099999998,0.30000000000000004,-1,-1,-1,18.11993051185437,64.57829401135164
25690020,36.012982,129.31880133333334,0.2,-1,-1,-1,18.149980149330872,64.57829407344532
25690030,36.01298216666667,129.31880183333334,0.1,-1,-1,-1,18.195054564531866,64.59678737304169
25690040,36.012982,129.31880183333334,0.1,-1,-1,-1,18.195054602384005,64.57829416669273
25690050,36.01298216666667,129.31880199999998,0.1,-1,-1,-1,18.21007937945319,64.5967874041571
25690060,36.012982,129.31880199999998,0.0,-1,-1,-1,18.210079417960642,64.57829419784646
25690070,36.012982,129.31880216666664,0.0,-1,-1,-1,18.225104237829385,64.5782942290567
25690080,36.012982,129.31880216666664,0.0,-1,-1,-1,18.225104237829385,64.5782942290567
25690090,36.012982,129.31880233333334,0.0,-1,-1,-1,18.240129057698127,64.57829426026694
25690100,36.012982,129.3188025,0.0,-1,-1,-1,18.255153875600946,64.57829429136218
25690110,36.012982,129.31880266666667,0.0,-1,-1,-1,18.270178693143507,64.57829432263091
25690120,36.012981833333335,129.31880266666667,0.0,-1,-1,-1,18.270178731421097,64.55980111496982
25690130,36.012981833333335,129.31880266666667,0.0,-1,-1,-1,18.270178731421097,64.55980111496982
25690140,36.012981833333335,129.31880266666667,0.0,-1,-1,-1,18.270178731421097,64.55980111496982
25690150,36.012981833333335,129.31880283333334,0.0,-1,-1,-1,18.28520354932391,64.55980114606507
25690160,36.012981833333335,129.318803,0.0,-1,-1,-1,18.300228366866477,64.5598011773338
25690170,36.01298166666666,129.31880316666667,0.0,-1,-1,-1,18.31525322344141,64.5413080019708
25690180,36.01298166666666,129.31880316666667,0.0,-1,-1,-1,18.31525322344141,64.5413080019708
25690190,36.01298166666666,129.3188033333333,0.0,-1,-1,-1,18.330278038657795,64.54130803329801
25690200,36.0129815,129.3188035,0.0,-1,-1,-1,18.345302900015483,64.5228148578008
25690210,36.0129815,129.31880383333333,0.0,-1,-1,-1,18.37535253510061,64.52281492033825
25690220,36.0129815,129.318804,0.0,-1,-1,-1,18.390377353233283,64.52281495203061
25690230,36.01298133333333,129.31880416666667,0.0,-1,-1,-1,18.405402209578362,64.50432177644717
25690240,36.01298133333333,129.31880416666667,0.0,-1,-1,-1,18.405402209578362,64.50432177644717
25690250,36.01298133333333,129.31880416666667,0.0,-1,-1,-1,18.405402209578362,64.50432177644717
25690260,36.01298133333333,129.31880433333333,0.0,-1,-1,-1,18.420427027120923,64.5043218077159
25690270,36.01298133333333,129.31880433333333,0.0,-1,-1,-1,18.420427027120923,64.5043218077159
25690280,36.01298116666667,129.3188045,0.0,-1,-1,-1,18.435451884121314,64.48582863292413
25690290,36.01298116666667,129.3188046666667,0.0,-1,-1,-1,18.450476706906343,64.48582866449951
25690300,36.01298116666667,129.3188046666667,0.0,-1,-1,-1,18.450476706906343,64.48582866449951
25690310,36.01298116666667,129.3188046666667,0.0,-1,-1,-1,18.450476706906343,64.48582866449951
25690320,36.01298116666667,129.31880483333333,0.0,-1,-1,-1,18.465501522057536,64.48582869621202
25690330,36.01298116666667,129.318805,0.0,-1,-1,-1,18.480526339895157,64.48582872769256
25690340,36.01298116666667,129.318805,0.0,-1,-1,-1,18.480526339895157,64.48582872769256
25690350,36.01298116666667,129.318805,0.0,-1,-1,-1,18.480526339895157,64.48582872769256
25690360,36.01298116666667,129.31880516666666,0.0,-1,-1,-1,18.495551158027837,64.48582875938492
25690370,36.01298116666667,129.31880516666666,0.0,-1,-1,-1,18.495551158027837,64.48582875938492
25690380,36.01298116666667,129.31880516666666,0.0,-1,-1,-1,18.495551158027837,64.48582875938492
25690390,36.01298116666667,129.31880533333333,0.0,-1,-1,-1,18.510575975505205,64.48582879103894
25690400,36.012980999999996,129.3188055,0.0,-1,-1,-1,18.52560083250559,64.4673356147405
25690410,36.012980999999996,129.3188055,0.0,-1,-1,-1,18.52560083250559,64.4673356147405
25690420,36.012980999999996,129.31880566666666,0.0,-1,-1,-1,18.540625650278017,64.46733564660634
25690430,36.012980999999996,129.31880566666666,0.0,-1,-1,-1,18.540625650278017,64.46733564660634
25690440,36.01298083333334,129.31880583333336,0.1,-1,-1,-1,18.55565051150532,64.44884247225637
25690450,36.01298083333334,129.31880600000002,0.0,-1,-1,-1,18.570675329637993,64.44884250394873
25690460,36.01298083333334,129.31880600000002,0.0,-1,-1,-1,18.570675329637993,64.44884250394873
25690470,36.01298083333334,129.31880616666666,0.0,-1,-1,-1,18.58570014544449,64.44884253569957
25690480,36.01298083333334,129.31880616666666,0.0,-1,-1,-1,18.58570014544449,64.44884253569957
25690490,36.01298083333334,129.31880633333333,0.0,-1,-1,-1,18.600724962856674,64.4488425677389
25690500,36.01298083333334,129.31880633333333,0.0,-1,-1,-1,18.600724962856674,64.4488425677389
25690510,36.01298083333334,129.31880633333333,0.0,-1,-1,-1,18.600724962856674,64.4488425677389
25690520,36.01298083333334,129.31880666666666,0.0,-1,-1,-1,18.630774599122027,64.4488426311236
25690530,36.01298083333334,129.31880666666666,0.0,-1,-1,-1,18.630774599122027,64.4488426311236
25690540,36.01298083333334,129.31880683333333,0.0,-1,-1,-1,18.645799417189515,64.44884266320125
25690550,36.01298083333334,129.31880683333333,0.0,-1,-1,-1,18.645799417189515,64.44884266320125
25690560,36.01298083333334,129.31880683333333,0.0,-1,-1,-1,18.645799417189515,64.44884266320125
25690570,36.01298083333334,129.31880683333333,0.0,-1,-1,-1,18.645799417189515,64.44884266320125
25690580,36.01298083333334,129.31880683333333,0.0,-1,-1,-1,18.645799417189515,64.44884266320125
25690590,36.01298083333334,129.31880683333333,0.0,-1,-1,-1,18.645799417189515,64.44884266320125
25690600,36.01298083333334,129.318807,0.0,-1,-1,-1,18.660824234666883,64.44884269485529
25690610,36.01298083333334,129.318807,0.0,-1,-1,-1,18.660824234666883,64.44884269485529
25690620,36.01298083333334,129.318807,0.0,-1,-1,-1,18.660824234666883,64.44884269485529
25690630,36.01298083333334,129.318807,0.0,-1,-1,-1,18.660824234666883,64.44884269485529
25690640,36.01298083333334,129.3188071666667,0.0,-1,-1,-1,18.675849057026483,64.44884272698944
25690650,36.01298083333334,129.3188071666667,0.0,-1,-1,-1,18.675849057026483,64.44884272698944
25690660,36.01298083333334,129.3188071666667,0.0,-1,-1,-1,18.675849057026483,64.44884272698944
25690670,36.01298083333334,129.3188071666667,0.0,-1,-1,-1,18.675849057026483,64.44884272698944
25690680,36.01298083333334,129.31880733333335,0.0,-1,-1,-1,18.690873874798903,64.44884275885528
25690690,36.01298083333334,129.31880733333335,0.0,-1,-1,-1,18.690873874798903,64.44884275885528
25690700,36.01298083333334,129.31880733333335,0.0,-1,-1,-1,18.690873874798903,64.44884275885528
25690710,36.01298083333334,129.31880733333335,0.0,-1,-1,-1,18.690873874798903,64.44884275885528
25690720,36.01298083333334,129.31880733333335,0.0,-1,-1,-1,18.690873874798903,64.44884275885528
25690730,36.012980999999996,129.31880733333335,0.0,-1,-1,-1,18.690873835341087,64.46733596491578
25690740,36.012980999999996,129.3188075,0.0,-1,-1,-1,18.705898651442638,64.46733599687843
25690750,36.012980999999996,129.3188075,0.0,-1,-1,-1,18.705898651442638,64.46733599687843
25690760,36.012980999999996,129.31880766666666,0.0,-1,-1,-1,18.720923468920013,64.46733602853246
25690770,36.012980999999996,129.31880766666666,0.0,-1,-1,-1,18.720923468920013,64.46733602853246
25690780,36.012980999999996,129.31880766666666,0.0,-1,-1,-1,18.720923468920013,64.46733602853246
25690790,36.012980999999996,129.31880783333332,0.0,-1,-1,-1,18.73594828662725,64.4673360607836
25690800,36.012980999999996,129.31880783333332,0.0,-1,-1,-1,18.73594828662725,64.4673360607836
25690810,36.012980999999996,129.31880816666666,0.0,-1,-1,-1,18.765997922762217,64.4673361249389
25690820,36.012980999999996,129.31880816666666,0.0,-1,-1,-1,18.765997922762217,64.4673361249389
25690830,36.012980999999996,129.31880816666666,0.0,-1,-1,-1,18.765997922762217,64.4673361249389
25690840,36.012980999999996,129.31880833333335,0.0,-1,-1,-1,18.78102274315588,64.46733615695807
25690850,36.012980999999996,129.31880833333335,0.0,-1,-1,-1,18.78102274315588,64.46733615695807
25690860,36.01298116666667,129.31880816666666,0.1,-1,-1,-1,18.7659978832392,64.48582933289137
25690870,36.01298116666667,129.31880816666666,0.0,-1,-1,-1,18.7659978832392,64.48582933289137
25690880,36.012980999999996,129.31880850000002,0.0,-1,-1,-1,18.796047563124105,64.467336189536
25690890,36.012980999999996,129.31880866666668,0.0,-1,-1,-1,18.811072381191586,64.46733622161366
25690900,36.01298133333333,129.31880966666668,0.4,-1,-1,-1,18.90122120874922,64.50432282934524
25690910,36.0129815,129.31881216666667,0.9,-1,-1,-1,19.126593439850694,64.52281652391221
25690920,36.012982,129.31881316666667,1.0,-1,-1,-1,19.21674222729856,64.5782963423106
25690930,36.01298233333333,129.31881416666664,1.0,-1,-1,-1,19.30689105223832,64.6152829530268
25690940,36.012983,129.31881533333333,1.2000000000000002,-1,-1,-1,19.41206461734886,64.68925601207447
25690950,36.01298366666666,129.31881633333333,1.2000000000000002,-1,-1,-1,19.50221335757805,64.76322903982569
25690960,36.01298433333333,129.31881783333336,1.3,-1,-1,-1,19.63743655551947,64.83720216848991
25690970,36.01298533333333,129.31881883333332,1.4000000000000001,-1,-1,-1,19.727585207236608,64.94816161189888
25690980,36.012986999999995,129.31882083333332,1.3,-1,-1,-1,19.907882597354124,65.13309408694272
25690990,36.01298766666666,129.31882233333332,1.4000000000000001,-1,-1,-1,20.04310578193533,65.20706722190407
25691000,36.012989,129.31882533333334,1.4000000000000001,-1,-1,-1,20.313552145141493,65.35501349889635
25691010,36.012989,129.31882533333334,1.4000000000000001,-1,-1,-1,20.313552145141493,65.35501349889635
25691020,36.01299133333334,129.3188286666667,1.4000000000000001,-1,-1,-1,20.614047873782702,65.61391909699373
25691030,36.01299233333334,129.3188295,1.4000000000000001,-1,-1,-1,20.689171690078446,65.72487851452541
25691040,36.01299316666667,129.318831,1.5,-1,-1,-1,20.824394814674235,65.81734486869831
25691050,36.01299433333334,129.31883183333332,1.4000000000000001,-1,-1,-1,20.899518586701866,65.94679749581765
25691060,36.012995000000004,129.31883283333335,1.3,-1,-1,-1,20.989667306832274,66.02077053816909
25691070,36.01299566666667,129.3188343333333,1.4000000000000001,-1,-1,-1,21.124890465711957,66.09474368985751
25691080,36.0129965,129.31883566666664,1.4000000000000001,-1,-1,-1,21.245088764839643,66.18721001394161
25691090,36.012997000000006,129.31883716666667,1.5,-1,-1,-1,21.380311969208698,66.24268996378856
25691100,36.01299866666667,129.31883950000002,1.4000000000000001,-1,-1,-1,21.59065892903719,66.42762254735295
25691110,36.01300033333334,129.31884200000002,1.4000000000000001,-1,-1,-1,21.816030692625958,66.61255517330994
25691120,36.013001333333335,129.31884316666668,1.5,-1,-1,-1,21.921204117200404,66.72351467640412
25691130,36.0130025,129.31884433333335,1.5,-1,-1,-1,22.026377492624512,66.85296738822915
25691140,36.013003166666664,129.31884516666665,1.4000000000000001,-1,-1,-1,22.101501373237,66.92694040462091
25691150,36.01300383333333,129.3188463333333,1.2000000000000002,-1,-1,-1,22.20667488419626,67.00091349748791
25691160,36.01300466666667,129.31884766666664,1.3,-1,-1,-1,22.32687315988342,67.09337983711923
25691170,36.01300533333333,129.31884916666667,1.4000000000000001,-1,-1,-1,22.46209629536024,67.16735300962246
25691180,36.013006000000004,129.31885066666666,1.4000000000000001,-1,-1,-1,22.597319426908577,67.24132618503367
25691190,36.01300683333333,129.31885150000002,1.3,-1,-1,-1,22.672443258374102,67.33379241216423
25691200,36.013008666666664,129.31885416666668,1.5,-1,-1,-1,22.912839740005282,67.53721831331735
25691210,36.0130105,129.31885616666665,1.5,-1,-1,-1,23.09313695675366,67.7406440622025
