,time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
1201,795701,,,,,,,,-0.4765625,-0.36328125,-0.38671875,0.8125,-1.021484375,-0.880859375,21.46666666666664,-5.300000000000011,176.07777777777778
1202,795702,,,,,,,,-0.4765625,-0.36328125,-0.38671875,0.8125,-1.021484375,-0.880859375,21.46666666666664,-5.300000000000011,176.07777777777778
1203,795703,,,,,,,,-0.4765625,-0.36328125,-0.38671875,0.8125,-1.021484375,-0.880859375,21.46666666666664,-5.300000000000011,176.07777777777778
1204,795704,,,,,,,,-0.4765625,-0.36328125,-0.38671875,0.8125,-1.021484375,-0.880859375,21.46666666666664,-5.300000000000011,176.07777777777778
1205,795705,,,,,,,,-0.4765625,-0.36328125,-0.38671875,0.8125,-1.021484375,-0.880859375,21.46666666666664,-5.300000000000011,176.07777777777778
1206,795706,,,,,,,,-0.4765625,-0.36328125,-0.38671875,0.8125,-1.021484375,-0.880859375,21.46666666666664,-5.300000000000011,176.07777777777778
1207,795707,,,,,,,,-0.4765625,-0.36328125,-0.38671875,0.8125,-1.021484375,-0.880859375,21.46666666666664,-5.300000000000011,176.07777777777778
1208,795708,,,,,,,,-0.4765625,-0.36328125,-0.38671875,0.8125,-1.021484375,-0.880859375,21.46666666666664,-5.300000000000011,176.07777777777778
1209,795709,,,,,,,,-0.4765625,-0.36328125,-0.38671875,0.8125,-1.021484375,-0.880859375,21.46666666666664,-5.300000000000011,176.07777777777778
1210,795710,36.012791166666666,129.32211083333334,316.49855395253957,43.4092551167863,0.1,65535.0,,0.46875,0.51953125,-0.546875,-0.150390625,0.166015625,0.150390625,39.28888888888889,8.044444444444423,185.22222222222223
1211,795711,,,,,,,,0.46875,0.51953125,-0.546875,-0.150390625,0.166015625,0.150390625,39.28888888888889,8.044444444444423,185.22222222222223
1212,795712,,,,,,,,0.46875,0.51953125,-0.546875,-0.150390625,0.166015625,0.150390625,39.28888888888889,8.044444444444423,185.22222222222223
1213,795713,,,,,,,,0.0625,0.265625,-0.79296875,-0.158203125,0.431640625,0.388671875,39.177777777777806,7.877777777777794,185.04444444444445
1214,795714,,,,,,,,0.0625,0.265625,-0.79296875,-0.158203125,0.431640625,0.388671875,39.177777777777806,7.877777777777794,185.04444444444445
1215,795715,,,,,,,,0.0625,0.265625,-0.79296875,-0.158203125,0.431640625,0.388671875,39.177777777777806,7.877777777777794,185.04444444444445
1216,795716,,,,,,,,0.0625,0.265625,-0.79296875,-0.158203125,0.431640625,0.388671875,39.177777777777806,7.877777777777794,185.04444444444445
1217,795717,,,,,,,,0.0625,0.265625,-0.79296875,-0.158203125,0.431640625,0.388671875,39.177777777777806,7.877777777777794,185.04444444444445
1218,795718,,,,,,,,-0.53125,0.03515625,-0.4375,-0.1015625,-1.80859375,-0.16796875,23.52222222222224,-5.48888888888888,175.94444444444446
1219,795719,,,,,,,,-0.53125,0.03515625,-0.4375,-0.1015625,-1.80859375,-0.16796875,23.52222222222224,-5.48888888888888,175.94444444444446
1220,795720,36.012791166666666,129.322111,316.5135788061714,43.40925565834294,0.1,65535.0,,-0.2421875,-0.22265625,-0.89453125,-0.21875,0.58203125,0.4765625,38.94444444444446,7.555555555555543,184.67777777777778
1221,795721,,,,,,,,-0.51171875,-0.48046875,-0.6640625,-0.263671875,0.5859375,0.400390625,38.633333333333326,7.177777777777806,184.27777777777777
1222,795722,,,,,,,,-0.74609375,-0.63671875,-0.47265625,-0.19140625,0.537109375,0.298828125,38.344444444444434,6.855555555555554,183.95555555555555
1223,795723,,,,,,,,-0.70703125,-0.7265625,-0.2734375,-0.0625,0.470703125,0.1953125,38.0888888888889,6.655555555555566,183.73333333333332
1224,795724,,,,,,,,-0.33203125,-0.52734375,0.0390625,0.0234375,0.39453125,0.095703125,37.855555555555554,6.555555555555543,183.5888888888889
1225,795725,,,,,,,,-0.078125,-0.44921875,0.20703125,0.08203125,0.345703125,0.05078125,37.655555555555566,6.544444444444423,183.48888888888888
1226,795726,,,,,,,,-0.078125,-0.44921875,0.20703125,0.08203125,0.345703125,0.05078125,37.655555555555566,6.544444444444423,183.48888888888888
1227,795727,,,,,,,,-0.015625,-0.2578125,0.30859375,0.111328125,0.3125,0.083984375,37.47777777777776,6.555555555555543,183.4
1228,795728,,,,,,,,0.23828125,-0.3359375,0.3671875,0.095703125,0.248046875,0.09765625,37.333333333333314,6.577777777777783,183.3111111111111
1229,795729,,,,,,,,-0.0078125,-0.60546875,0.16796875,0.02734375,0.232421875,0.07421875,37.21111111111111,6.566666666666663,183.2111111111111
1230,795730,36.01279066666667,129.3221118333333,316.588705075093,43.35377874599392,0.1,65535.0,,-0.26171875,-0.55859375,-0.15234375,-0.21875,0.58203125,0.4765625,37.0888888888889,6.51111111111112,183.14444444444445
1231,795731,,,,,,,,-0.50390625,-0.47265625,-0.58984375,-0.240234375,0.30859375,-0.001953125,36.93333333333334,6.399999999999977,183.1
